name,number,type,shape,direction
A0,1,input,line,left
A1,2,input,line,left
A2,3,input,line,left
,,space,line,left
~E1,4,input,inverted,left
~E2,5,input,inverted,left
E3,6,input,line,left
~Y0,15,output,inverted,right
~Y1,14,output,inverted,right
~Y2,13,output,inverted,right
~Y3,12,output,inverted,right
~Y4,11,output,inverted,right
~Y5,10,output,inverted,right
~Y6,9,output,inverted,right
~Y7,7,output,inverted,right
GND,8,powerInput,line,down
VCC,16,powerInput,line,up
