name,reference,value,tolerance,power,footprint
chip_resistor_0201_E24_5%,R,2k2,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,2k4,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,2k7,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,3k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,3k3,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,3k6,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,3k9,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,4k3,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,4k7,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,5k1,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,5k6,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,6k2,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,6k8,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,7k5,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,8k2,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,9k1,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,10k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,11k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,12k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,13k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,15k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,16k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,18k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,20k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,22k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,24k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,27k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,30k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,33k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,36k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,39k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,43k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,47k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,51k,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,56k,5%,0.05W,chip_resistor_0201
