symbol,name,unit,reference,footprint,alias,description,keywords,document,version,a,b,c,d,e,f,g,h,q,cp,oe,y,z,vcc,gnd
logic_buffer_enable_not_power,74AHC1G125GW,0,IC,tssop_5,74AHCT1G125GW,"Single bus buffer/line driver, 3-state","single, buffer, 3-state, smd",doc/logic/74AHC_AHCT1G125.pdf,SOT353-1,2,,,,,,,,,,1,4,,5,3
logic_buffer_enable_not_power,74AHC1G125GV,0,IC,sc_74a,74AHCT1G125GV,"Single bus buffer/line driver, 3-state","single, buffer, 3-state, smd",doc/logic/74AHC_AHCT1G125.pdf,SOT753,2,,,,,,,,,,1,4,,5,3
logic_buffer_enable_not_power,74AHC1G125GM,0,IC,xson_6,74AHCT1G125GM,"Single bus buffer/line driver, 3-state","single, buffer, 3-state, smd",doc/logic/74AHC_AHCT1G125.pdf,SOT886,2,,,,,,,,,,1,4,,5,3
logic_buffer_enable_not_power,74AHC1G125GF,0,IC,xson_6,74AHCT1G125GF,"Single bus buffer/line driver, 3-state","single, buffer, 3-state, smd",doc/logic/74AHC_AHCT1G125.pdf,SOT891,2,,,,,,,,,,1,4,,5,3
logic_buffer_enable_power,74AHC1G126GW,0,IC,tssop_5,74AHCT1G126GW,"Single bus buffer/line driver, 3-state","single, buffer, 3-state, smd",doc/logic/74AHC_AHCT1G126.pdf,SOT353-1,2,,,,,,,,,,1,4,,5,3
logic_buffer_enable_power,74AHC1G126GV,0,IC,sc_74a,74AHCT1G126GV,"Single bus buffer/line driver, 3-state","single, buffer, 3-state, smd",doc/logic/74AHC_AHCT1G126.pdf,SOT753,2,,,,,,,,,,1,4,,5,3
logic_buffer_enable_power,74AHC1G126GM,0,IC,xson_6,74AHCT1G126GM,"Single bus buffer/line driver, 3-state","single, buffer, 3-state, smd",doc/logic/74AHC_AHCT1G126.pdf,SOT886,2,,,,,,,,,,1,4,,5,3
logic_buffer_enable_power,74AHC1G126GF,0,IC,xson_6,74AHCT1G126GF,"Single bus buffer/line driver, 3-state","single, buffer, 3-state, smd",doc/logic/74AHC_AHCT1G126.pdf,SOT891,2,,,,,,,,,,1,4,,5,3
logic_nand2_power,74AHC2G00DP,1,IC,tssop_8,74AHCT2G00DP,Dual 2-input NAND gate,"dual, nand, smd",doc/logic/74AHC_AHCT2G00.pdf,SOT505-2,1,2,,,,,,,,,,7,,8,4
logic_nand2,74AHC2G00DP,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_nand2_power,74AHC2G00DC,1,IC,vssop_8,74AHCT2G00DC,Dual 2-input NAND gate,"dual, nand, smd",doc/logic/74AHC_AHCT2G00.pdf,SOT765-1,1,2,,,,,,,,,,7,,8,4
logic_nand2,74AHC2G00DC,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_nand2_power,74AHC2G00GD,1,IC,xson_8,74AHCT2G00GD,Dual 2-input NAND gate,"dual, nand, smd",doc/logic/74AHC_AHCT2G00.pdf,SOT996-2,1,2,,,,,,,,,,7,,8,4
logic_nand2,74AHC2G00GD,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_and2_power,74AHC2G08DP,1,IC,tssop_8,74AHCT2G08DP,Dual 2-input AND gate,"dual, and, smd",doc/logic/74AHC_AHCT2G08.pdf,SOT505-2,1,2,,,,,,,,,,7,,8,4
logic_and2,74AHC2G08DP,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_and2_power,74AHC2G08DC,1,IC,vssop_8,74AHCT2G08DC,Dual 2-input AND gate,"dual, and, smd",doc/logic/74AHC_AHCT2G08.pdf,SOT765-1,1,2,,,,,,,,,,7,,8,4
logic_and2,74AHC2G08DC,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_and2_power,74AHC2G08GD,1,IC,xson_8,74AHCT2G08GD,Dual 2-input AND gate,"dual, and, smd",doc/logic/74AHC_AHCT2G08.pdf,SOT996-2,1,2,,,,,,,,,,7,,8,4
logic_and2,74AHC2G08GD,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_or2_power,74AHC2G32DP,1,IC,tssop_8,74AHCT2G32DP,Dual 2-input OR gate,"dual, or, smd",doc/logic/74AHC_AHCT2G32.pdf,SOT505-2,1,2,,,,,,,,,,7,,8,4
logic_or2,74AHC2G32DP,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_or2_power,74AHC2G32DC,1,IC,vssop_8,74AHCT2G32DC,Dual 2-input OR gate,"dual, or, smd",doc/logic/74AHC_AHCT2G32.pdf,SOT765-1,1,2,,,,,,,,,,7,,8,4
logic_or2,74AHC2G32DC,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_or2_power,74AHC2G32GD,1,IC,xson_8,74AHCT2G32GD,Dual 2-input OR gate,"dual, or, smd",doc/logic/74AHC_AHCT2G32.pdf,SOT996-2,1,2,,,,,,,,,,7,,8,4
logic_or2,74AHC2G32GD,2,,,,,,,,5,6,,,,,,,,,,3,,,
logic_buffer_enable_not_power,74AHC2G125DP,1,IC,tssop_8,74AHCT2G125DP,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G125.pdf,SOT505-2,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable_not,74AHC2G125DP,2,,,,,,,,5,,,,,,,,,,7,3,,,
logic_buffer_enable_not_power,74AHC2G125DC,1,IC,vssop_8,74AHCT2G125DC,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G125.pdf,SOT765-1,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable_not,74AHC2G125DC,2,,,,,,,,5,,,,,,,,,,7,3,,,
