symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_22n_25V_chip_0603,C,chip_capacitor_0603,Capacitor 22nF 25V,"capacitor,smd",1,2,22n,5%,25V,"06033D223"
capacitor,capacitor_150p_16V_chip_0101,C,chip_capacitor_0101,Capacitor 150pF 16V,"capacitor,smd",1,2,150p,5%,16V,"0101YD151"
capacitor,capacitor_2u2_16V_chip_0603,C,chip_capacitor_0603,Capacitor 2u2F 16V,"capacitor,smd",1,2,2u2,5%,16V,"0603YD225"
capacitor,capacitor_100u_6.3V_chip_1210,C,chip_capacitor_1210,Capacitor 100uF 6.3V,"capacitor,smd",1,2,100u,5%,6.3V,"12106D107"
capacitor,capacitor_15n_25V_chip_0402,C,chip_capacitor_0402,Capacitor 15nF 25V,"capacitor,smd",1,2,15n,5%,25V,"04023D153"
capacitor,capacitor_100u_4V_chip_1210,C,chip_capacitor_1210,Capacitor 100uF 4V,"capacitor,smd",1,2,100u,5%,4V,"12104D107"
capacitor,capacitor_22u_16V_chip_1210,C,chip_capacitor_1210,Capacitor 22uF 16V,"capacitor,smd",1,2,22u,5%,16V,"1210YD226"
capacitor,capacitor_10u_6.3V_chip_0603,C,chip_capacitor_0603,Capacitor 10uF 6.3V,"capacitor,smd",1,2,10u,5%,6.3V,"06036D106"
capacitor,capacitor_10u_10V_chip_0603,C,chip_capacitor_0603,Capacitor 10uF 10V,"capacitor,smd",1,2,10u,5%,10V,"0603ZD106"
capacitor,capacitor_33n_16V_chip_0402,C,chip_capacitor_0402,Capacitor 33nF 16V,"capacitor,smd",1,2,33n,5%,16V,"0402YD333"
capacitor,capacitor_100u_25V_chip_1210,C,chip_capacitor_1210,Capacitor 100uF 25V,"capacitor,smd",1,2,100u,5%,25V,"12103D107"
capacitor,capacitor_1u_50V_chip_1210,C,chip_capacitor_1210,Capacitor 1uF 50V,"capacitor,smd",1,2,1u,5%,50V,"12105D1004"
capacitor,capacitor_100u_6.3V_chip_1206,C,chip_capacitor_1206,Capacitor 100uF 6.3V,"capacitor,smd",1,2,100u,5%,6.3V,"12066D107"
capacitor,capacitor_1u_35V_chip_0805,C,chip_capacitor_0805,Capacitor 1uF 35V,"capacitor,smd",1,2,1u,5%,35V,"0805DD1004"
capacitor,capacitor_4u7_16V_chip_0603,C,chip_capacitor_0603,Capacitor 4u7F 16V,"capacitor,smd",1,2,4u7,5%,16V,"0603YD475"
capacitor,capacitor_4u7_10V_chip_0603,C,chip_capacitor_0603,Capacitor 4u7F 10V,"capacitor,smd",1,2,4u7,5%,10V,"0603ZD475"
capacitor,capacitor_4u7_6.3V_chip_0603,C,chip_capacitor_0603,Capacitor 4u7F 6.3V,"capacitor,smd",1,2,4u7,5%,6.3V,"06036D475"
capacitor,capacitor_4u7_35V_chip_1210,C,chip_capacitor_1210,Capacitor 4u7F 35V,"capacitor,smd",1,2,4u7,5%,35V,"1210DD475"
capacitor,capacitor_15n_35V_chip_0603,C,chip_capacitor_0603,Capacitor 15nF 35V,"capacitor,smd",1,2,15n,5%,35V,"0603DD153"
capacitor,capacitor_4u7_50V_chip_1206,C,chip_capacitor_1206,Capacitor 4u7F 50V,"capacitor,smd",1,2,4u7,5%,50V,"12065D475"
capacitor,capacitor_1u_16V_chip_0201,C,chip_capacitor_0201,Capacitor 1uF 16V,"capacitor,smd",1,2,1u,5%,16V,"0201YD1004"
capacitor,capacitor_1n_25V_chip_0201,C,chip_capacitor_0201,Capacitor 1nF 25V,"capacitor,smd",1,2,1n,5%,25V,"02013D1001"
capacitor,capacitor_47n_50V_chip_0603,C,chip_capacitor_0603,Capacitor 47nF 50V,"capacitor,smd",1,2,47n,5%,50V,"06035D473"
capacitor,capacitor_2u2_100V_chip_1206,C,chip_capacitor_1206,Capacitor 2u2F 100V,"capacitor,smd",1,2,2u2,5%,100V,"12061D225"
capacitor,capacitor_10u_10V_chip_1206,C,chip_capacitor_1206,Capacitor 10uF 10V,"capacitor,smd",1,2,10u,5%,10V,"1206ZD106"
capacitor,capacitor_10u_4V_chip_1206,C,chip_capacitor_1206,Capacitor 10uF 4V,"capacitor,smd",1,2,10u,5%,4V,"12064D106"
capacitor,capacitor_220n_6.3V_chip_0101,C,chip_capacitor_0101,Capacitor 220nF 6.3V,"capacitor,smd",1,2,220n,5%,6.3V,"01016D224"
capacitor,capacitor_220n_16V_chip_0402,C,chip_capacitor_0402,Capacitor 220nF 16V,"capacitor,smd",1,2,220n,5%,16V,"0402YD224"
capacitor,capacitor_47u_16V_chip_1210,C,chip_capacitor_1210,Capacitor 47uF 16V,"capacitor,smd",1,2,47u,5%,16V,"1210YD476"
capacitor,capacitor_10n_16V_chip_0101,C,chip_capacitor_0101,Capacitor 10nF 16V,"capacitor,smd",1,2,10n,5%,16V,"0101YD103"
capacitor,capacitor_4u7_6.3V_chip_0805,C,chip_capacitor_0805,Capacitor 4u7F 6.3V,"capacitor,smd",1,2,4u7,5%,6.3V,"08056D475"
capacitor,capacitor_2u2_35V_chip_0805,C,chip_capacitor_0805,Capacitor 2u2F 35V,"capacitor,smd",1,2,2u2,5%,35V,"0805DD225"
capacitor,capacitor_100u_16V_chip_1210,C,chip_capacitor_1210,Capacitor 100uF 16V,"capacitor,smd",1,2,100u,5%,16V,"1210YD107"
capacitor,capacitor_1u_25V_chip_0603,C,chip_capacitor_0603,Capacitor 1uF 25V,"capacitor,smd",1,2,1u,5%,25V,"06033D1004"
capacitor,capacitor_470n_50V_chip_0805,C,chip_capacitor_0805,Capacitor 470nF 50V,"capacitor,smd",1,2,470n,5%,50V,"08055D474"
capacitor,capacitor_4n7_25V_chip_0201,C,chip_capacitor_0201,Capacitor 4n7F 25V,"capacitor,smd",1,2,4n7,5%,25V,"02013D472"
capacitor,capacitor_1u_6.3V_chip_0201,C,chip_capacitor_0201,Capacitor 1uF 6.3V,"capacitor,smd",1,2,1u,5%,6.3V,"02016D1004"
capacitor,capacitor_330p_25V_chip_0201,C,chip_capacitor_0201,Capacitor 330pF 25V,"capacitor,smd",1,2,330p,5%,25V,"02013D331"
capacitor,capacitor_2u2_25V_chip_1210,C,chip_capacitor_1210,Capacitor 2u2F 25V,"capacitor,smd",1,2,2u2,5%,25V,"12103D225"
capacitor,capacitor_22u_4V_chip_0805,C,chip_capacitor_0805,Capacitor 22uF 4V,"capacitor,smd",1,2,22u,5%,4V,"08054D226"
capacitor,capacitor_6n8_6.3V_chip_0101,C,chip_capacitor_0101,Capacitor 6n8F 6.3V,"capacitor,smd",1,2,6n8,5%,6.3V,"01016D682"
capacitor,capacitor_150n_25V_chip_0805,C,chip_capacitor_0805,Capacitor 150nF 25V,"capacitor,smd",1,2,150n,5%,25V,"08053D154"
capacitor,capacitor_2u2_50V_chip_1210,C,chip_capacitor_1210,Capacitor 2u2F 50V,"capacitor,smd",1,2,2u2,5%,50V,"12105D225"
capacitor,capacitor_47u_6.3V_chip_0805,C,chip_capacitor_0805,Capacitor 47uF 6.3V,"capacitor,smd",1,2,47u,5%,6.3V,"08056D476"
capacitor,capacitor_2n2_25V_chip_0201,C,chip_capacitor_0201,Capacitor 2n2F 25V,"capacitor,smd",1,2,2n2,5%,25V,"02013D222"
capacitor,capacitor_100u_4V_chip_1206,C,chip_capacitor_1206,Capacitor 100uF 4V,"capacitor,smd",1,2,100u,5%,4V,"12064D107"
capacitor,capacitor_220p_50V_chip_0402,C,chip_capacitor_0402,Capacitor 220pF 50V,"capacitor,smd",1,2,220p,5%,50V,"04025D221"
