symbol,name,1,2,reference,alias,document,footprint,description,keywords,manufacturer,value
inductor,7445403,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 3 uH, WE-PD3, Type L",inductor,Würth,3 uH,
inductor,7445404,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 4.7 uH, WE-PD3, Type L",inductor,Würth,4.7 uH,
inductor,74454068,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 7 uH, WE-PD3, Type L",inductor,Würth,7 uH,
inductor,74454010,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 10 uH, WE-PD3, Type L",inductor,Würth,10 uH,
inductor,74454115,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 15 uH, WE-PD3, Type L",inductor,Würth,15 uH,
inductor,74454122,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 22 uH, WE-PD3, Type L",inductor,Würth,22 uH,
inductor,74454133,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 33 uH, WE-PD3, Type L",inductor,Würth,33 uH,
inductor,74454147,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 47 uH, WE-PD3, Type L",inductor,Würth,47 uH,
inductor,74454168,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 68 uH, WE-PD3, Type L",inductor,Würth,68 uH,
inductor,7445420,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 100 uH, WE-PD3, Type L",inductor,Würth,100 uH,
inductor,74454215,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 150 uH, WE-PD3, Type L",inductor,Würth,150 uH,
