symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,power
resistor,resistor_39R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 39R 5% 0.05W,"resistor, smd",1,2,39R,5%,0.05W
resistor,resistor_43R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 43R 5% 0.05W,"resistor, smd",1,2,43R,5%,0.05W
resistor,resistor_47R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 47R 5% 0.05W,"resistor, smd",1,2,47R,5%,0.05W
resistor,resistor_51R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 51R 5% 0.05W,"resistor, smd",1,2,51R,5%,0.05W
resistor,resistor_56R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 56R 5% 0.05W,"resistor, smd",1,2,56R,5%,0.05W
resistor,resistor_62R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 62R 5% 0.05W,"resistor, smd",1,2,62R,5%,0.05W
resistor,resistor_68R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 68R 5% 0.05W,"resistor, smd",1,2,68R,5%,0.05W
resistor,resistor_75R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 75R 5% 0.05W,"resistor, smd",1,2,75R,5%,0.05W
resistor,resistor_82R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 82R 5% 0.05W,"resistor, smd",1,2,82R,5%,0.05W
resistor,resistor_91R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 91R 5% 0.05W,"resistor, smd",1,2,91R,5%,0.05W
resistor,resistor_100R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 100R 5% 0.05W,"resistor, smd",1,2,100R,5%,0.05W
resistor,resistor_110R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 110R 5% 0.05W,"resistor, smd",1,2,110R,5%,0.05W
resistor,resistor_120R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 120R 5% 0.05W,"resistor, smd",1,2,120R,5%,0.05W
resistor,resistor_130R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 130R 5% 0.05W,"resistor, smd",1,2,130R,5%,0.05W
resistor,resistor_150R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 150R 5% 0.05W,"resistor, smd",1,2,150R,5%,0.05W
resistor,resistor_160R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 160R 5% 0.05W,"resistor, smd",1,2,160R,5%,0.05W
