symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_100n_10V_chip_0805,C,chip_capacitor_0805,Capacitor 100nF 10V,"capacitor,smd",1,2,100n,5%,10V,"0805ZC104"
capacitor,capacitor_470n_16V_chip_0805,C,chip_capacitor_0805,Capacitor 470nF 16V,"capacitor,smd",1,2,470n,5%,16V,"0805YC474"
capacitor,capacitor_1n5_500V_chip_1206,C,chip_capacitor_1206,Capacitor 1n5F 500V,"capacitor,smd",1,2,1n5,5%,500V,"12067C152"
capacitor,capacitor_47n_200V_chip_2225,C,chip_capacitor_2225,Capacitor 47nF 200V,"capacitor,smd",1,2,47n,5%,200V,"22252C473"
capacitor,capacitor_100n_500V_chip_1210,C,chip_capacitor_1210,Capacitor 100nF 500V,"capacitor,smd",1,2,100n,5%,500V,"12107C104"
capacitor,capacitor_15n_25V_chip_0402,C,chip_capacitor_0402,Capacitor 15nF 25V,"capacitor,smd",1,2,15n,5%,25V,"04023C153"
capacitor,capacitor_470p_200V_chip_0805,C,chip_capacitor_0805,Capacitor 470pF 200V,"capacitor,smd",1,2,470p,5%,200V,"08052C471"
capacitor,capacitor_33n_10V_chip_0402,C,chip_capacitor_0402,Capacitor 33nF 10V,"capacitor,smd",1,2,33n,5%,10V,"0402ZC333"
capacitor,capacitor_330n_16V_chip_0603,C,chip_capacitor_0603,Capacitor 330nF 16V,"capacitor,smd",1,2,330n,5%,16V,"0603YC334"
capacitor,capacitor_2u2_50V_chip_1210,C,chip_capacitor_1210,Capacitor 2u2F 50V,"capacitor,smd",1,2,2u2,5%,50V,"12105C225"
capacitor,capacitor_2u2_100V_chip_2220,C,chip_capacitor_2220,Capacitor 2u2F 100V,"capacitor,smd",1,2,2u2,5%,100V,"22201C225"
capacitor,capacitor_100n_100V_chip_1812,C,chip_capacitor_1812,Capacitor 100nF 100V,"capacitor,smd",1,2,100n,5%,100V,"18121C104"
capacitor,capacitor_2n2_10V_chip_0402,C,chip_capacitor_0402,Capacitor 2n2F 10V,"capacitor,smd",1,2,2n2,5%,10V,"0402ZC222"
capacitor,capacitor_680n_16V_chip_1210,C,chip_capacitor_1210,Capacitor 680nF 16V,"capacitor,smd",1,2,680n,5%,16V,"1210YC684"
capacitor,capacitor_2u2_100V_chip_2225,C,chip_capacitor_2225,Capacitor 2u2F 100V,"capacitor,smd",1,2,2u2,5%,100V,"22251C225"
capacitor,capacitor_1u_50V_chip_0805,C,chip_capacitor_0805,Capacitor 1uF 50V,"capacitor,smd",1,2,1u,5%,50V,"08055C1004"
capacitor,capacitor_470p_100V_chip_0805,C,chip_capacitor_0805,Capacitor 470pF 100V,"capacitor,smd",1,2,470p,5%,100V,"08051C471"
