symbol,manufacturer,name,alias,unit,reference,description,keywords,document,footprint,la,lc,tb,tc,te,a1,a2
optocoupler_triac,Texas Instruments,MOC3020,MOC3021 MOC3022 MOC3023,0,OK,Optocoupler with triac driver,"optocoupler, triac",doc/optocoupler/ti/MOC3020_3023.pdf,dil_6,1,2,,,,6,4
optocoupler_transistor_base,Vishay,4N25,4N26 4N27 4N28,0,OK,"Optocoupler, Phototransistor Output, with Base Connection","optocoupler, transistor, base",doc/optocoupler/vishay/4N25_28.pdf,dil_6,1,2,6,5,4,,
