name,pin,type,direction
C1+,1,bidir,left
C1-,3,bidir,left
C2+,4,bidir,left
C2-,5,bidir,left
-,,,left
T1IN,11,input,left
T2IN,10,input,left
R1OUT12,12,output,left
R2OUT,9,output,left
V+,2,bidir,right
-,,,right
V-,6,bidir,right
-,,,right
-,,,right
T1OUT,14,output,right
T2OUT,7,output,right
R1IN,13,input,right
R2IN,8,input,right
VCC,16,supply,top
GND,15,supply,bottom
