symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage
capacitor,capacitor_470pF_200_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 470pF 5% 200V,"capacitor,smd",1,2,470pF,5%,200V
capacitor,capacitor_470pF_10_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 470pF 5% 10V,"capacitor,smd",1,2,470pF,5%,10V
capacitor,capacitor_470pF_16_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 470pF 5% 16V,"capacitor,smd",1,2,470pF,5%,16V
capacitor,capacitor_470pF_25_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 470pF 5% 25V,"capacitor,smd",1,2,470pF,5%,25V
capacitor,capacitor_470pF_50_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 470pF 5% 50V,"capacitor,smd",1,2,470pF,5%,50V
capacitor,capacitor_470pF_100_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 470pF 5% 100V,"capacitor,smd",1,2,470pF,5%,100V
capacitor,capacitor_470pF_200_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 470pF 5% 200V,"capacitor,smd",1,2,470pF,5%,200V
capacitor,capacitor_470pF_500_chip_capacitor_1206V,C,chip_capacitor_1206,Capacitor 470pF 5% 500V,"capacitor,smd",1,2,470pF,5%,500V
capacitor,capacitor_680pF_10_chip_capacitor_101V,C,chip_capacitor_101,Capacitor 680pF 5% 10V,"capacitor,smd",1,2,680pF,5%,10V
capacitor,capacitor_680pF_10_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 680pF 5% 10V,"capacitor,smd",1,2,680pF,5%,10V
capacitor,capacitor_680pF_16_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 680pF 5% 16V,"capacitor,smd",1,2,680pF,5%,16V
capacitor,capacitor_680pF_25_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 680pF 5% 25V,"capacitor,smd",1,2,680pF,5%,25V
capacitor,capacitor_680pF_16_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 680pF 5% 16V,"capacitor,smd",1,2,680pF,5%,16V
capacitor,capacitor_680pF_25_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 680pF 5% 25V,"capacitor,smd",1,2,680pF,5%,25V
capacitor,capacitor_680pF_50_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 680pF 5% 50V,"capacitor,smd",1,2,680pF,5%,50V
capacitor,capacitor_680pF_100_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 680pF 5% 100V,"capacitor,smd",1,2,680pF,5%,100V
capacitor,capacitor_680pF_200_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 680pF 5% 200V,"capacitor,smd",1,2,680pF,5%,200V
capacitor,capacitor_680pF_10_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 680pF 5% 10V,"capacitor,smd",1,2,680pF,5%,10V
capacitor,capacitor_680pF_16_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 680pF 5% 16V,"capacitor,smd",1,2,680pF,5%,16V
capacitor,capacitor_680pF_25_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 680pF 5% 25V,"capacitor,smd",1,2,680pF,5%,25V
capacitor,capacitor_680pF_50_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 680pF 5% 50V,"capacitor,smd",1,2,680pF,5%,50V
capacitor,capacitor_680pF_100_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 680pF 5% 100V,"capacitor,smd",1,2,680pF,5%,100V
capacitor,capacitor_680pF_200_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 680pF 5% 200V,"capacitor,smd",1,2,680pF,5%,200V
capacitor,capacitor_680pF_500_chip_capacitor_1206V,C,chip_capacitor_1206,Capacitor 680pF 5% 500V,"capacitor,smd",1,2,680pF,5%,500V
capacitor,capacitor_1000pF_10_chip_capacitor_101V,C,chip_capacitor_101,Capacitor 1000pF 5% 10V,"capacitor,smd",1,2,1000pF,5%,10V
capacitor,capacitor_1000pF_10_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 1000pF 5% 10V,"capacitor,smd",1,2,1000pF,5%,10V
capacitor,capacitor_1000pF_16_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 1000pF 5% 16V,"capacitor,smd",1,2,1000pF,5%,16V
capacitor,capacitor_1000pF_25_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 1000pF 5% 25V,"capacitor,smd",1,2,1000pF,5%,25V
capacitor,capacitor_1000pF_10_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 1000pF 5% 10V,"capacitor,smd",1,2,1000pF,5%,10V
capacitor,capacitor_1000pF_16_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 1000pF 5% 16V,"capacitor,smd",1,2,1000pF,5%,16V
capacitor,capacitor_1000pF_25_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 1000pF 5% 25V,"capacitor,smd",1,2,1000pF,5%,25V
capacitor,capacitor_1000pF_50_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 1000pF 5% 50V,"capacitor,smd",1,2,1000pF,5%,50V
capacitor,capacitor_1000pF_100_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 1000pF 5% 100V,"capacitor,smd",1,2,1000pF,5%,100V
capacitor,capacitor_1000pF_200_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 1000pF 5% 200V,"capacitor,smd",1,2,1000pF,5%,200V
capacitor,capacitor_1000pF_10_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 1000pF 5% 10V,"capacitor,smd",1,2,1000pF,5%,10V
capacitor,capacitor_1000pF_16_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 1000pF 5% 16V,"capacitor,smd",1,2,1000pF,5%,16V
capacitor,capacitor_1000pF_25_chip_capacitor_805V,C,chip_capacitor_805,Capacitor 1000pF 5% 25V,"capacitor,smd",1,2,1000pF,5%,25V
