symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_330p_50V_chip_0603,C,chip_capacitor_0603,Capacitor 330pF 50V,"capacitor,smd",1,2,330p,5%,50V,"06035A331"
capacitor,capacitor_10n_25V_chip_0402,C,chip_capacitor_0402,Capacitor 10nF 25V,"capacitor,smd",1,2,10n,5%,25V,"04023A103"
capacitor,capacitor_10u_10V_chip_1210,C,chip_capacitor_1210,Capacitor 10uF 10V,"capacitor,smd",1,2,10u,5%,10V,"1210ZA106"
capacitor,capacitor_680p_16V_chip_0805,C,chip_capacitor_0805,Capacitor 680pF 16V,"capacitor,smd",1,2,680p,5%,16V,"0805YA681"
capacitor,capacitor_47n_50V_chip_1210,C,chip_capacitor_1210,Capacitor 47nF 50V,"capacitor,smd",1,2,47n,5%,50V,"12105A473"
capacitor,capacitor_33n_25V_chip_1210,C,chip_capacitor_1210,Capacitor 33nF 25V,"capacitor,smd",1,2,33n,5%,25V,"12103A333"
capacitor,capacitor_680n_25V_chip_1210,C,chip_capacitor_1210,Capacitor 680nF 25V,"capacitor,smd",1,2,680n,5%,25V,"12103A684"
capacitor,capacitor_220n_16V_chip_0805,C,chip_capacitor_0805,Capacitor 220nF 16V,"capacitor,smd",1,2,220n,5%,16V,"0805YA224"
capacitor,capacitor_68n_16V_chip_0402,C,chip_capacitor_0402,Capacitor 68nF 16V,"capacitor,smd",1,2,68n,5%,16V,"0402YA683"
capacitor,capacitor_1u_10V_chip_1206,C,chip_capacitor_1206,Capacitor 1uF 10V,"capacitor,smd",1,2,1u,5%,10V,"1206ZA1004"
capacitor,capacitor_22n_50V_chip_1210,C,chip_capacitor_1210,Capacitor 22nF 50V,"capacitor,smd",1,2,22n,5%,50V,"12105A223"
capacitor,capacitor_15n_50V_chip_2220,C,chip_capacitor_2220,Capacitor 15nF 50V,"capacitor,smd",1,2,15n,5%,50V,"22205A153"
capacitor,capacitor_15n_50V_chip_2225,C,chip_capacitor_2225,Capacitor 15nF 50V,"capacitor,smd",1,2,15n,5%,50V,"22255A153"
capacitor,capacitor_1n_16V_chip_0402,C,chip_capacitor_0402,Capacitor 1nF 16V,"capacitor,smd",1,2,1n,5%,16V,"0402YA1001"
capacitor,capacitor_100p_50V_chip_0201,C,chip_capacitor_0201,Capacitor 100pF 50V,"capacitor,smd",1,2,100p,5%,50V,"02015A101"
capacitor,capacitor_22n_16V_chip_1206,C,chip_capacitor_1206,Capacitor 22nF 16V,"capacitor,smd",1,2,22n,5%,16V,"1206YA223"
capacitor,capacitor_22n_200V_chip_1206,C,chip_capacitor_1206,Capacitor 22nF 200V,"capacitor,smd",1,2,22n,5%,200V,"12062A223"
capacitor,capacitor_47n_10V_chip_1206,C,chip_capacitor_1206,Capacitor 47nF 10V,"capacitor,smd",1,2,47n,5%,10V,"1206ZA473"
capacitor,capacitor_15n_10V_chip_0402,C,chip_capacitor_0402,Capacitor 15nF 10V,"capacitor,smd",1,2,15n,5%,10V,"0402ZA153"
capacitor,capacitor_3n3_10V_chip_0201,C,chip_capacitor_0201,Capacitor 3n3F 10V,"capacitor,smd",1,2,3n3,5%,10V,"0201ZA332"
capacitor,capacitor_100n_50V_chip_0603,C,chip_capacitor_0603,Capacitor 100nF 50V,"capacitor,smd",1,2,100n,5%,50V,"06035A104"
capacitor,capacitor_22u_16V_chip_1210,C,chip_capacitor_1210,Capacitor 22uF 16V,"capacitor,smd",1,2,22u,5%,16V,"1210YA226"
capacitor,capacitor_100u_16V_chip_1210,C,chip_capacitor_1210,Capacitor 100uF 16V,"capacitor,smd",1,2,100u,5%,16V,"1210YA107"
capacitor,capacitor_330n_200V_chip_2220,C,chip_capacitor_2220,Capacitor 330nF 200V,"capacitor,smd",1,2,330n,5%,200V,"22202A334"
capacitor,capacitor_220n_6.3V_chip_0603,C,chip_capacitor_0603,Capacitor 220nF 6.3V,"capacitor,smd",1,2,220n,5%,6.3V,"06036A224"
capacitor,capacitor_1n5_25V_chip_1210,C,chip_capacitor_1210,Capacitor 1n5F 25V,"capacitor,smd",1,2,1n5,5%,25V,"12103A152"
capacitor,capacitor_22n_500V_chip_1210,C,chip_capacitor_1210,Capacitor 22nF 500V,"capacitor,smd",1,2,22n,5%,500V,"12107A223"
capacitor,capacitor_22n_50V_chip_1825,C,chip_capacitor_1825,Capacitor 22nF 50V,"capacitor,smd",1,2,22n,5%,50V,"18255A223"
capacitor,capacitor_680n_100V_chip_1206,C,chip_capacitor_1206,Capacitor 680nF 100V,"capacitor,smd",1,2,680n,5%,100V,"12061A684"
capacitor,capacitor_10u_50V_chip_1210,C,chip_capacitor_1210,Capacitor 10uF 50V,"capacitor,smd",1,2,10u,5%,50V,"12105A106"
capacitor,capacitor_100n_50V_chip_1825,C,chip_capacitor_1825,Capacitor 100nF 50V,"capacitor,smd",1,2,100n,5%,50V,"18255A104"
capacitor,capacitor_15n_50V_chip_1210,C,chip_capacitor_1210,Capacitor 15nF 50V,"capacitor,smd",1,2,15n,5%,50V,"12105A153"
capacitor,capacitor_10n_16V_chip_0805,C,chip_capacitor_0805,Capacitor 10nF 16V,"capacitor,smd",1,2,10n,5%,16V,"0805YA103"
capacitor,capacitor_15n_10V_chip_0805,C,chip_capacitor_0805,Capacitor 15nF 10V,"capacitor,smd",1,2,15n,5%,10V,"0805ZA153"
capacitor,capacitor_10u_25V_chip_1812,C,chip_capacitor_1812,Capacitor 10uF 25V,"capacitor,smd",1,2,10u,5%,25V,"18123A106"
