GRM Series Temperature Compensating Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LxW (mm),0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.6x0.3,0.6x0.3,0.6x0.3,0.6x0.3,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,4.5x2.0,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0
5.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0G,,,,,,,,,,,,,
7.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,C0G,,C0G,,,,,,,,,,,,,,,,,,,,,,U2J,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,,,,,,,,,,,,
10.5pF,,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,C0G,,C0G,,,,,,,,,,,,,,,,,,,,,,U2J,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,,,,,,,,,,,,
12.5pF,,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,C0G,,C0G,,,,,,,,,,,,,,,,,,,,,,U2J,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,,,,,,,,,,,,
16pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18pF,C0G,CH,,,,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,C0G,,C0G,,,,,,,,,,,,,,,,,,,,,,U2J,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,,,,,,,,,,,,
19pF,,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
