GRM Series Temperature Compensating Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LxW (mm),0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.6x0.3,0.6x0.3,0.6x0.3,0.6x0.3,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,4.5x2.0,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0
82pF,C0G,CH,,C0G,CH,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,C0G,,C0G,,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,
91pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94pF,C0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96pF,C0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100pF,C0G,CH,,C0G,CH,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,
120pF,,,,,,,,C0G,CH,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150pF,,,,,,,,C0G,CH,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180pF,,,,,,,,C0G,CH,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,
220pF,,,,,,,,C0G,CH,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,
270pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,U2J,C0G,U2J,C0G,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,C0G,U2J,C0G,U2J,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,U2J,,,U2J,C0G,,C0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,C0G,CH,,,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,U2J,,,,C0G,,C0G,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,UJ,,,,C0G,CH,,,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,U2J,,,,C0G,,C0G,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200pF,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,C0G,CH,C0G,CH,SL,U2J,UJ,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,
1500pF,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,C0G,CH,C0G,CH,SL,U2J,UJ,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,U2J,,,,,,,,,,,,,,,,,,,,,
1800pF,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,C0G,CH,SL,U2J,UJ,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,C0G,CH,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,U2J,,,,,,,,,,,,,,,,,
2200pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL,U2J,UJ,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,C0G,CH,,,,,,,,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,U2J,,,,,,,,,,,,,,,,,
2700pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL,U2J,UJ,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,C0G,CH,,,,,,,,,,,,,U2J,U2J,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,
3300pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL,U2J,UJ,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,C0G,CH,,,,,,,,,,,,,U2J,U2J,,,U2J,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,
3900pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL,U2J,UJ,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,C0G,CH,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,
4700pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL,U2J,UJ,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,C0G,CH,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,
5600pF,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,C0G,CH,SL,U2J,UJ,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,C0G,CH,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,,,,U2J,,,,,
6800pF,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,C0G,CH,SL,U2J,UJ,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,U2J,,,,,
8200pF,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,C0G,CH,SL,U2J,UJ,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,U2J,,
10000pF,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,C0G,CH,SL,U2J,UJ,,,,,,,,,,UJ,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,,,,,U2J,,
12000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,SL,U2J,UJ,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,,,,
15000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,SL,U2J,UJ,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,
18000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,SL,U2J,UJ,,,,,,,,,,,,,,,,C0G,CH,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,
22000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,C0G,CH,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,U2J,,,,,,
27000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,,,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,,U2J,U2J,,,
33000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,U2J,U2J
39000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,U2J,U2J
47000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,U2J,,,,,,,,,,,,,U2J,U2J
56000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,,,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,,,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
