generator,name,description,tags,package_width,package_height,pad_diameter,pad_grid,pad_drill,pin_count_x,pin_count_y
connector_grid_male,pin_connector_thd_male_2x18_2.54mm,,,5.08,45.72,2.0,2.54,1.0,2,18
connector_grid_male,pin_connector_thd_male_2x19_2.54mm,,,5.08,48.26,2.0,2.54,1.0,2,19
connector_grid_male,pin_connector_thd_male_2x20_2.54mm,,,5.08,50.8,2.0,2.54,1.0,2,20
connector_grid_male,pin_connector_thd_male_2x21_2.54mm,,,5.08,53.34,2.0,2.54,1.0,2,21
connector_grid_male,pin_connector_thd_male_2x22_2.54mm,,,5.08,55.88,2.0,2.54,1.0,2,22
connector_grid_male,pin_connector_thd_male_2x23_2.54mm,,,5.08,58.42,2.0,2.54,1.0,2,23
connector_grid_male,pin_connector_thd_male_2x24_2.54mm,,,5.08,60.96,2.0,2.54,1.0,2,24
connector_grid_male,pin_connector_thd_male_2x25_2.54mm,,,5.08,63.5,2.0,2.54,1.0,2,25
connector_grid_male,pin_connector_thd_male_2x26_2.54mm,,,5.08,66.04,2.0,2.54,1.0,2,26
connector_grid_male,pin_connector_thd_male_2x27_2.54mm,,,5.08,68.58,2.0,2.54,1.0,2,27
connector_grid_male,pin_connector_thd_male_2x28_2.54mm,,,5.08,71.12,2.0,2.54,1.0,2,28
connector_grid_male,pin_connector_thd_male_2x29_2.54mm,,,5.08,73.66,2.0,2.54,1.0,2,29
connector_grid_male,pin_connector_thd_male_2x30_2.54mm,,,5.08,76.2,2.0,2.54,1.0,2,30
connector_grid_male,pin_connector_thd_male_2x31_2.54mm,,,5.08,78.74,2.0,2.54,1.0,2,31
connector_grid_male,pin_connector_thd_male_2x32_2.54mm,,,5.08,81.28,2.0,2.54,1.0,2,32
