number,name,type
18,PA02,bidirectional
19,PA03,bidirectional
20,PA04,bidirectional
1,PA05,bidirectional
2,PA06,bidirectional
3,PA07,bidirectional
4,PA08,bidirectional
5,PA09,bidirectional
6,PA14,bidirectional
7,PA15,bidirectional
8,PA16,bidirectional
9,PA22,bidirectional
10,PA23,bidirectional
14,PA24,bidirectional
15,PA25,bidirectional
11,PA28,bidirectional
12,PA30,bidirectional
13,PA31,bidirectional
