number,name,type,shape,direction
2,PAD0,bidirectional,line,left
6,PAD0,bidirectional,line,left
20,PAD0,bidirectional,line,left
1,PAD1,bidirectional,line,left
3,PAD1,bidirectional,line,left
7,PAD1,bidirectional,line,left
2,PAD2,bidirectional,line,left
4,PAD2,bidirectional,line,left
20,PAD2,bidirectional,line,left
1,PAD3,bidirectional,line,left
3,PAD3,bidirectional,line,left
5,PAD3,bidirectional,line,left
