number,name,type,shape,direction
4,GCLK_IO0,input,line,left
12,GCLK_IO0,input,line,left
13,GCLK_IO0,input,line,left
14,GCLK_IO0,input,line,left
15,GCLK_IO0,input,line,left
5,GCLK_IO1,input,line,left
9,GCLK_IO1,input,line,left
8,GCLK_IO2,input,line,left
10,GCLK_IO2,input,line,left
6,GCLK_IO4,input,line,left
7,GCLK_IO5,input,line,left
