GRM Series Temperature Compensating Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
LxW (mm),0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.6x0.3,0.6x0.3,0.6x0.3,0.6x0.3,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8
T max. (mm),0.22,0.22,0.22,0.22,0.22,0.33,0.33,0.33,0.33,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.9
Rated Voltage (Vdc),16,16,16,10,10,100,100,50,50,100,100,50,50,10,10,10,50,50,50,10,10,10,100,100,50,50,50
Cap. / TC Code,C0G,CΔ,,C0G,CH,C0G,CΔ,C0G,CΔ,C0G,CΔ,C0G,CΔ,SL,U2J,UJ,SL,U2J,UJ,SL,U2J,UJ,C0G,CΔ,C0G,CΔ,SL
330pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
390pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
470pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
560pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
680pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
820pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
1000pF,,,,,,,,,,,,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
1200pF,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,C0G,CH,C0G,CH,SL
1500pF,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,C0G,CH,C0G,CH,SL
1800pF,,,,,,,,,,,,,,SL,U2J,UJ,,,,,,,,,C0G,CH,SL
2200pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL
2700pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL
3300pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL
3900pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL
4700pF,,,,,,,,,,,,,,SL,U2J,UJ,SL,U2J,UJ,,,,,,C0G,CH,SL
5600pF,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,C0G,CH,SL
6800pF,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,C0G,CH,SL
8200pF,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,C0G,CH,SL
10000pF,,,,,,,,,,,,,,,,,,,,SL,U2J,UJ,,,C0G,CH,SL
12000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
27000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
39000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
47000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
56000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
68000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
82000pF,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10μF,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12μF,,,,,,,,,,,,,,,,,,,,,,,,,,,
