number,name,type
13,PA02,bidirectional
14,PA04,bidirectional
1,PA05,bidirectional
2,PA08,bidirectional
3,PA09,bidirectional
4,PA14,bidirectional
5,PA15,bidirectional
9,PA24,bidirectional
10,PA25,bidirectional
6,PA28,bidirectional
7,PA30,bidirectional
8,PA31,bidirectional
